1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
BA AN 07-13 001.jpg,23.29590,61.27540 ,41.84020,79.06080 ,54.11510,85.52820 ,35.47180,54.80800 ,26.03460,53.58710 
BA AN 07-13 002.jpg,49.36350,36.79170 ,70.31660,54.54400 ,79.58880,60.02150 ,68.20480,34.77880 ,53.68610,31.21520 
BA AN 07-13 003.jpg,54.74200,44.01800 ,62.66130,48.07660 ,86.15520,50.38640 ,71.07550,37.81460 ,55.83090,38.67250 
BA AN 07-13 005.jpg,36.89060,73.61630 ,57.54680,60.05450 ,66.85190,51.57430 ,38.54050,59.72460 ,32.60100,68.00680 
BA AN 07-13 006.jpg,29.07040,70.81160 ,52.92720,68.79870 ,68.53480,65.92800 ,40.94930,57.67880 ,29.46630,63.12330 
BA AN 07-13 007.jpg,28.67440,70.08560 ,56.02890,69.09570 ,71.50450,67.47890 ,41.04830,55.07200 ,27.05750,62.23230 
BA AN 07-13 008.jpg,31.90810,72.23040 ,53.98310,64.24520 ,66.65390,57.54680 ,29.86230,64.08020 ,25.73770,68.66680 
BA AN 07-13 011.jpg,25.53970,71.40550 ,40.38830,72.13140 ,68.56780,69.65670 ,25.96860,62.00140 ,20.65610,64.54210 
BA AN 07-13 012.jpg,31.71010,71.47150 ,55.33600,68.17180 ,70.18460,64.14620 ,34.48190,60.64850 ,28.34440,64.24520 
BA AN 07-13 014.jpg,28.37740,69.88760 ,52.79520,68.50180 ,65.69700,64.50910 ,41.74120,55.92990 ,27.75050,62.10040 
BA AN 07-13 015.jpg,28.34440,70.21760 ,41.41120,69.02970 ,68.13880,61.27540 ,31.64410,59.09760 ,25.80370,63.38720 
BA FN4 07-15 002.jpg,36.23070,71.24050 ,56.58990,64.34420 ,64.34420,59.59260 ,39.10140,59.88960 ,30.98420,67.11590 
BA FN4 07-15 003.jpg,31.67710,67.24790 ,40.48730,67.44590 ,65.07010,67.80880 ,36.23070,59.82360 ,29.76330,61.70440 
BA FN5 07-26 001.jpg,61.01150,51.11240 ,67.70980,44.87590 ,75.10120,30.88520 ,60.31850,41.44420 ,56.35890,48.34060 
BA FN5 07-26 002.jpg,32.20510,68.83170 ,48.17560,65.07010 ,55.43500,62.26530 ,36.65970,61.07740 ,30.02730,63.84920 
BA FN5 07-26 008.jpg,34.84480,63.38720 ,46.78970,71.76850 ,55.36900,72.06540 ,42.79710,60.02150 ,36.49470,58.93260 
BA FN8 07-16 001.jpg,28.47640,74.37520 ,51.87130,66.62090 ,66.35700,59.19660 ,28.64140,63.78320 ,23.52690,68.73280 
BA FN8 07-16 002.jpg,36.03270,72.03250 ,53.81810,59.46060 ,61.93540,51.04640 ,38.14450,59.85660 ,32.07310,67.74280 
BA FN8 07-16 003.jpg,30.29120,68.69980 ,54.61000,70.11860 ,67.34690,68.40280 ,37.48460,55.63290 ,28.31140,61.34140 
BA FN8 07-16 004.jpg,32.63400,70.87760 ,53.71910,69.55770 ,65.89500,66.19200 ,39.95940,58.76770 ,30.48920,65.00410 
BH FN 06-06 001.jpg,36.39570,68.13880 ,48.73660,68.93070 ,73.71530,62.49630 ,39.86040,59.79060 ,33.03000,62.03440 
BH FN1 06-28 001.jpg,29.26830,68.36980 ,40.15730,69.09570 ,61.50640,68.73280 ,41.31220,61.20940 ,30.32420,62.99130 
BH FN1 06-28 004.jpg,33.16200,66.25800 ,42.26920,66.58790 ,58.20670,65.33410 ,38.73850,60.78050 ,32.37010,61.24240 
BH FN3  06-28 008.jpg,30.72020,66.12600 ,39.53040,67.67680 ,61.53940,70.01960 ,37.41860,59.42760 ,28.67440,61.70440 
BH FN3 06-28 002.jpg,31.28120,72.46140 ,42.00520,68.69980 ,65.03710,55.30300 ,37.74860,60.35150 ,27.18950,67.51190 
BH FN3 06-28 003.jpg,31.14920,68.93070 ,41.31220,68.83170 ,65.16910,66.62090 ,35.30680,61.47340 ,29.43330,63.61820 
BH FN3 06-28 004.jpg,31.97410,63.38720 ,42.99510,65.96100 ,61.30840,67.24790 ,38.47450,58.30570 ,31.94110,58.30570 
BH FN4 06-28 002.jpg,28.27840,66.29100 ,42.63210,67.41290 ,61.11040,65.96100 ,40.35530,58.99860 ,29.16930,60.61550 
BH FN4 06-28 003.jpg,29.16930,66.85190 ,42.73110,67.41290 ,66.35700,69.06270 ,37.68260,58.43770 ,30.32420,60.12050 
BH FN4 06-28 004.jpg,32.63400,68.17180 ,43.91900,68.20480 ,63.38720,65.40010 ,40.42130,58.73470 ,32.76600,62.33130 
BH shock 06-06 003.jpg,21.25010,67.64390 ,48.07660,70.08560 ,62.72730,64.31120 ,35.70280,55.92990 ,23.46090,60.12050 
BH shock 06-06 007.jpg,26.69460,65.66400 ,41.01530,68.40280 ,66.22500,66.45600 ,36.19770,55.79790 ,27.84950,57.21680 
CR FN1 07-15 002.jpg,29.69730,67.61090 ,40.78430,66.55490 ,63.55220,63.18930 ,34.67980,60.64850 ,30.45620,61.27540 
CR FN1 07-15 008.jpg,32.53500,67.74280 ,40.98230,68.69980 ,60.02150,68.83170 ,40.12440,59.92260 ,32.33710,63.02430 
CR FN1 07-15 009.jpg,31.97410,71.50450 ,41.84020,68.86470 ,58.83370,63.15630 ,38.01250,62.36430 ,31.24820,65.89500 
CR FN1 07-15 011.jpg,37.18760,64.77310 ,51.40930,65.82900 ,55.17100,65.79600 ,40.48730,61.07740 ,36.49470,60.84650 
CR FN7 07-15 004.jpg,39.00250,67.11590 ,49.13250,67.31390 ,67.94080,67.70980 ,46.03080,61.44040 ,36.39570,62.03440 
CR FN9 07-15 002.jpg,29.69730,67.90780 ,41.27920,66.65390 ,66.85190,63.61820 ,33.42600,60.12050 ,29.63130,61.17640 
CR FN9 07-15 003.jpg,32.73300,67.24790 ,53.38910,67.37990 ,64.50910,66.55490 ,36.06570,59.95550 ,32.00710,61.70440 
CR FN9 07-15 004.jpg,37.15460,65.07010 ,44.21600,64.93810 ,56.82080,64.44310 ,40.09140,60.87950 ,36.46170,61.53940 
FD shock 07-31 003.jpg,31.54510,72.46140 ,42.79710,70.21760 ,62.16630,60.64850 ,39.29940,61.27540 ,29.03740,67.51190 
FD shock 07-31 005.jpg,29.69730,70.28360 ,40.68530,68.36980 ,59.79060,63.45320 ,31.57810,63.42020 ,28.04740,65.59800 
FD shock 07-31 007.jpg,32.60100,67.61090 ,39.20040,66.52200 ,62.16630,64.11320 ,41.47720,57.61280 ,30.48920,60.97850 
FD shock 07-31 008.jpg,37.45160,68.69980 ,51.93730,62.03440 ,57.77770,56.72180 ,39.13440,60.91250 ,34.51490,65.66400 
FD shock 07-31 009.jpg,35.37280,62.26530 ,43.06110,68.56780 ,54.57700,73.02240 ,42.23620,59.29560 ,36.23070,59.32860 
FD shock 07-31 011.jpg,24.51680,68.17180 ,34.81180,69.06270 ,59.88960,68.66680 ,35.10880,58.60270 ,24.35180,63.09030 
FD shock 07-31 012.jpg,29.59830,71.24050 ,40.98230,71.04250 ,66.88490,65.73000 ,32.93100,61.93540 ,27.12350,65.20210 
FD shock 07-31 014.jpg,35.24080,67.31390 ,43.09410,66.81890 ,58.33870,59.85660 ,40.09140,60.08750 ,33.72290,63.05730 
FD shock 07-31 015.jpg,32.40310,66.29100 ,52.53120,65.33410 ,63.12330,63.61820 ,41.74120,57.84370 ,31.74310,62.33130 
FD shock 07-31 016.jpg,32.10610,64.70710 ,41.51020,65.56500 ,61.50640,64.24520 ,36.32970,58.47070 ,32.33710,58.50370 
FD shock 07-31 019.jpg,28.24540,63.28820 ,47.74670,70.94360 ,58.40470,74.11130 ,37.97950,56.02890 ,28.24540,58.40470 
FD shock 07-31 022.jpg,31.61110,69.55770 ,43.29210,68.43580 ,64.90510,64.08020 ,40.52030,58.89960 ,30.98420,63.65120 
FD shock 07-31 024.jpg,37.22060,68.69980 ,43.09410,67.70980 ,58.76770,62.56230 ,39.16740,61.77040 ,35.57080,64.74010 
FD shock 07-31 026.jpg,34.28390,67.08290 ,45.43690,66.65390 ,55.99590,64.57510 ,38.90350,62.03440 ,32.43610,64.24520 
FD shock 07-31 027.jpg,36.92360,70.51460 ,43.75400,67.70980 ,57.57980,60.25250 ,39.86040,63.25520 ,34.94380,67.57790 
FD shock 07-31 029.jpg,35.27380,70.64660 ,42.79710,69.55770 ,59.62560,61.73740 ,40.05840,59.98850 ,33.03000,66.68690 
HB AN 07-10 001.jpg,29.20230,70.38260 ,45.56890,70.48160 ,74.80420,69.75570 ,33.12900,57.24980 ,27.51950,60.08750 
HB AN 07-10 002.jpg,27.65150,67.28090 ,40.15730,69.02970 ,73.74830,73.18730 ,42.13720,54.18110 ,28.34440,57.11780 
HB AN 07-10 003.jpg,25.57270,69.68970 ,36.92360,70.11860 ,71.80150,65.13610 ,27.94850,56.19390 ,22.70190,59.85660 
HB AN 07-10 004.jpg,27.51950,72.16440 ,43.09410,71.27350 ,73.35230,66.29100 ,32.76600,58.76770 ,26.62860,62.49630 
HB AN 07-10 007.jpg,35.47180,73.71530 ,45.86580,70.28360 ,67.84180,54.87400 ,37.12160,59.75760 ,30.52220,66.25800 
HB AN 07-10 008.jpg,31.38010,66.65390 ,46.19580,68.83170 ,75.03520,69.02970 ,39.26640,55.79790 ,31.18220,58.40470 
HB AN 07-10 009.jpg,26.49660,67.04990 ,38.67250,68.07280 ,70.08560,70.77860 ,38.54050,55.10500 ,24.61580,58.23970 
HB AN 07-10 010.jpg,24.28580,65.69700 ,38.70550,67.41290 ,65.53200,68.40280 ,30.02730,55.86390 ,24.25280,57.51380 
HB AN 07-10 011.jpg,25.86960,67.41290 ,40.78430,69.09570 ,65.99400,69.16170 ,39.13440,54.87400 ,26.16660,58.60270 
HB AN 07-24 001.jpg,23.92280,60.94550 ,36.62670,67.54490 ,62.49630,80.84260 ,38.47450,51.40930 ,25.83670,52.39920 
HB AN 07-24 002.jpg,39.66240,67.67680 ,61.04450,72.26340 ,76.68500,68.17180 ,41.64220,56.88680 ,36.89060,60.61550 
HB AN 07-24 003.jpg,30.39020,68.23780 ,42.86310,70.51460 ,68.20480,71.14150 ,39.36540,58.76770 ,30.35720,61.14340 
HB AN 07-24 004.jpg,35.50480,68.89770 ,49.42950,69.62370 ,78.36790,66.39000 ,45.40390,55.59990 ,34.38290,62.49630 
HB AN 07-24 005.jpg,28.64140,73.41830 ,39.59640,71.43850 ,67.80880,60.68150 ,37.35260,58.70170 ,25.37470,65.56500 
HB AN 07-24 006.jpg,29.16930,68.86470 ,40.09140,70.81160 ,67.08290,72.56040 ,34.01990,58.63570 ,27.42050,61.01150 
HB AN 07-24 007.jpg,29.63130,68.83170 ,42.30220,71.17450 ,70.05260,72.85740 ,34.97680,56.22690 ,29.10340,60.74750 
HB AN 07-24 008.jpg,35.57080,67.84180 ,47.84570,72.65940 ,74.14430,74.67220 ,37.97950,57.51380 ,33.72290,59.16360 
HB AN 07-24 009.jpg,25.17670,66.68690 ,35.20780,67.87480 ,64.74010,65.03710 ,23.03190,53.32320 ,18.14840,59.72460 
HB AN 07-24 010.jpg,30.48920,68.50180 ,43.55600,68.89770 ,72.36240,65.69700 ,39.92640,58.56970 ,31.05020,60.31850 
HB AN 07-24 011.jpg,27.68450,65.43310 ,39.62940,67.18190 ,67.80880,65.16910 ,29.46630,56.78780 ,27.02450,58.99860 
HB AN 07-24 012.jpg,32.46900,63.88220 ,39.26640,66.62090 ,63.61820,77.60890 ,45.93180,56.75480 ,35.73580,57.71180 
HB AN 07-24 013.jpg,24.84670,68.56780 ,48.34060,70.74560 ,63.22230,70.25060 ,29.10340,57.44780 ,24.78070,62.85930 
HB AN 07-24 014.jpg,35.14180,69.39270 ,46.85570,70.67960 ,69.16170,67.80880 ,35.99970,60.64850 ,32.89800,61.93540 
HB AN 07-24 015.jpg,33.85490,70.08560 ,44.74390,68.89770 ,69.72270,61.86940 ,34.87780,59.65860 ,30.68720,62.69430 
HB FN3 07-08 001.jpg,29.10340,67.31390 ,40.12440,69.39270 ,68.79870,68.96370 ,35.37280,57.51380 ,28.70740,60.28550 
HB FN9 07-08 002.jpg,31.51210,66.29100 ,41.70820,68.89770 ,64.44310,68.17180 ,35.33980,57.74480 ,31.14920,59.42760 
LC shock 07-17 001.jpg,38.47450,68.13880 ,45.00790,68.10580 ,59.72460,63.81620 ,40.38830,62.59530 ,36.62670,63.81620 
LC shock 07-17 004.jpg,33.49200,67.11590 ,44.97490,67.01690 ,62.39730,65.43310 ,44.44700,61.77040 ,34.08590,62.26530 
LC shock 07-17 006.jpg,32.04010,67.04990 ,43.58900,65.89500 ,60.68150,61.27540 ,35.57080,61.27540 ,31.31420,61.80340 
LC shock 07-17 008.jpg,32.30410,68.27080 ,45.79980,67.41290 ,68.53480,63.12330 ,34.48190,61.37440 ,29.66430,62.69430 
LC shock 07-17 012.jpg,34.81180,70.81160 ,43.22610,67.14890 ,59.85660,57.05180 ,36.92360,63.35420 ,32.93100,65.73000 
LC shock 07-17 013.jpg,35.50480,66.95090 ,44.84290,67.47890 ,65.43310,66.68690 ,38.57350,57.24980 ,32.37010,61.04450 
LC shock 07-17 017.jpg,35.99970,65.86200 ,46.98770,66.81890 ,64.90510,66.52200 ,39.72840,60.84650 ,35.43880,60.61550 
LC shock 07-17 019.jpg,32.99700,68.23780 ,46.88870,68.73280 ,65.13610,67.11590 ,36.42870,59.59260 ,29.96130,62.33130 
LC shock 07-17 021.jpg,34.64690,66.52200 ,49.99050,65.26810 ,57.48080,63.12330 ,37.45160,58.70170 ,33.55790,62.13340 
LC shock 07-17 026.jpg,33.75590,71.27350 ,43.49000,68.99670 ,60.38450,61.80340 ,36.95660,62.29830 ,30.91820,66.71990 
LC shock 07-17 029.jpg,30.02730,70.77860 ,41.41120,68.89770 ,60.35150,62.79330 ,31.97410,63.35420 ,27.88250,65.30110 
LC shock 07-18 001.jpg,26.92560,66.78590 ,37.48460,67.08290 ,55.50100,64.14620 ,31.57810,59.22960 ,25.93560,61.07740 
LT FN 06-05 001.jpg,26.62860,61.67140 ,40.42130,69.72270 ,65.40010,76.85000 ,46.12980,54.87400 ,30.39020,53.95010 
LT FN 06-05 003.jpg,28.74040,74.14430 ,37.55060,71.57050 ,62.16630,53.15820 ,26.49660,65.69700 ,22.80090,70.67960 
LT FN 06-05 004.jpg,30.22530,66.75290 ,43.78700,68.96370 ,64.90510,63.22230 ,38.47450,57.38180 ,31.11620,59.39460 
LT FN 06-05 005.jpg,26.23260,68.96370 ,39.92640,71.43850 ,64.04720,70.44860 ,38.11150,57.18380 ,25.57270,62.19930 
LT FN 06-05 007.jpg,32.37010,65.40010 ,43.02810,67.47890 ,64.31120,68.73280 ,38.67250,56.19390 ,32.56800,58.40470 
LT FN 06-05 008.jpg,28.70740,65.76300 ,40.88330,68.33680 ,61.80340,70.15160 ,39.99240,55.00600 ,28.77340,57.97570 
LT FN 06-05 009.jpg,28.60840,65.56500 ,39.36540,66.88490 ,61.27540,66.95090 ,37.88060,56.12790 ,30.22530,59.13060 
LT FN 06-05 011.jpg,27.71750,67.51190 ,39.16740,69.92060 ,67.80880,67.87480 ,32.27110,56.39190 ,27.58550,59.59260 
LT FN 06-05 012.jpg,31.31420,65.79600 ,41.18030,66.39000 ,57.57980,64.64110 ,39.56340,59.29560 ,31.67710,60.12050 
LT FN 06-05 013.jpg,23.79080,61.40740 ,33.29400,65.00410 ,57.54680,72.13140 ,33.42600,55.20400 ,25.04470,54.80800 
LT FN 06-05 015.jpg,29.40030,62.13340 ,39.59640,68.99670 ,62.39730,76.42110 ,39.13440,54.84100 ,32.86500,55.27000 
LT shock 07-25 001.jpg,26.72760,66.75290 ,38.54050,67.34690 ,60.45050,66.62090 ,37.97950,58.66870 ,26.99150,60.58250 
LT shock 07-25 002.jpg,33.42600,66.12600 ,40.28930,66.06000 ,55.07200,63.18930 ,40.42130,59.13060 ,33.29400,62.46330 
LT shock 07-25 003.jpg,31.97410,62.69430 ,39.53040,66.22500 ,56.98580,70.11860 ,40.91630,56.58990 ,33.65690,58.00870 
